"vramHash1",  "vramHash2",  "title",              "dmaFix", "comment"
"0xfc507dd2", "0x08fdbba5", "B_TOADS/D_DRAG",     "0x0000", "Battletoads-Double Dragon (USA)"
"0x58feb1e2", "0xb959e302", "Blaster Master",     "0x0000", "Blaster Master Boy (USA), Blaster Master Jr. (Europe), Bomber King - Scenario 2 (Japan)"
"0x9e1e2758", "0x10291f82", "Burai Fighter",      "0x0000", "Burai Fighter Deluxe (USA, Europe)"
"0xdfa2a52b", "0xb3ce6026", "Burai Senshi",       "0x0000", "Burai Senshi Deluxe (Japan)"
"0xaa279014", "0xf73cf7fc", "CADILLAC2",          "0x0000", "Cadillac II (Japan)"
"0x62fa9fc3", "0x057b8142", "CAESARS PALACE",     "0x0000", "Caesars Palace (USA)"
"0xca17170f", "0xab77c7f2", "CAESARS PALACE",     "0x0000", "Caesars Palace (Europe) (En,Fr,De,Es,It)"
"0xfd0e69be", "0x5d731f5f", "CAESARS PALACE",     "0x0000", "Caesars Palace (USA) (Rev A)"
"0xfd0e6e91", "0x5d79d330", "CAESARS PALACE",     "0x0000", "Caesars Palace (Japan)"
"0x9e7b2b0f", "0x6063f05a", "CAPCOM QUIZ",        "0x0000", "Capcom Quiz - Hatena no Daibouken (Japan)"
"0x600f46e4", "0xe9155ac1", "CAPTAIN AMERIC",     "0x0000", "Captain America and the Avengers (USA)"
"0x59b49501", "0x0a2969ae", "CAPTAIN TUBASA",     "0x0000", "Captain Tsubasa J - Zenkoku Seiha e no Chousen (Japan)"
"0xb536ca49", "0x793bd46d", "CARD GAME",          "0x0000", "Card Game (Japan)"
"0x1d7f62ce", "0x716d8a08", "CASINO FUNPAK",      "0x0000", "Casino FunPak (USA, Europe)"
"0xeb59d0cc", "0x8f28dcaa", "CASPER",             "0x0000", "Casper (Europe), Casper (USA)"
"0x58d0e2e2", "0x328ad01f", "CASTELIAN",          "0x0000", "Castelian (USA)"
"0x596f2ebb", "0x0959365f", "CASTELIAN",          "0x0000", "Castelian (Europe)"
"0xc87af993", "0x89931e28", "CASTLE",             "0x0000", "Pachio-kun - Puzzle Castle (Japan)"
"0x57509696", "0x55fa60d3", "CASTLE QUEST U",     "0x0000", "Castle Quest (Europe)"
"0x54e3a5ba", "0x82d3c9e3", "CASTLEVANIA",        "0x0000", "Castlevania Legends (USA, Europe)"
"0x13b9d8df", "0xa094e958", "CASTLEVANIA AD",     "0x0000", "Castlevania - The Adventure (USA)"
"0x29774450", "0x740677a6", "CASTLEVANIA AD",     "0x0000", "Castlevania - The Adventure (Europe)"
"0xc366527d", "0x99bb117c", "CASTLEVANIA2 B",     "0x0000", "Castlevania II - Belmont's Revenge (USA, Europe)"
"0xafa23911", "0xb28f6fc6", "CATRAP",             "0x0000", "Catrap (USA)"
"0x469dafbb", "0x616ca148", "CAVE NOIRE",         "0x0000", "Cave Noire (Japan)"
"0xb7526f50", "0x5b0e4ca6", "CENTIPEDE",          "0x0000", "Centipede (USA)"
"0xfba74f1f", "0xfc51a3d5", "CENTIPEDE",          "0x0000", "Centipede (USA, Europe)"
"0x04a41339", "0x6e299ac9", "CHACHAMARUPANI",     "0x0000", "Chachamaru Panic (Japan)"
"0xa45e0a2c", "0x7c8a5bdb", "CHALVO55",           "0x0000", "Chalvo 55 - Super Puzzle Action (Japan)"
"0x9725467b", "0x65ca49f3", "CHAMPIONSHIP P",     "0x0000", "Championship Pool (USA)"
"0x325b520e", "0xabc3cbc5", "CHASE HQ",           "0x0000", "Chase H.Q. (USA, Europe)"
"0xad0db4ac", "0xbacdf771", "CHASE HQ",           "0x0000", "Taito Chase H.Q. (Japan)"
"0xae8a8bdb", "0x590d6f00", "CHIBIMARUKO",        "0x0000", "Chibi Maruko-chan - Okozukai Daisakusen! (Japan)"
"0x16f8e76c", "0x08796112", "CHIBIMARUKO2",       "0x0000", "Chibi Maruko-chan 2 - Deluxe Maruko World (Japan)"
"0xeec964da", "0xe7e21ae4", "CHIBIMARUKO3",       "0x0000", "Chibi Maruko-chan 3 - Mezase! Game Taishou no Maki (Japan)"
"0xeb701b5d", "0xc1e491d8", "CHIBIMARUKO4",       "0x0000", "Chibi Maruko-chan 4 - Kore ga Nihon Da yo! Ouji-sama (Japan)"
"0x7b805328", "0x445a9483", "CHIKI 2 TENGOK",     "0x0000", "Chiki Chiki Tengoku (Japan)"
"0x788c8638", "0xe18f973e", "CHIKI RACE GB",      "0x0000", "Chiki Chiki Machine Mou Race (Japan)"
"0xfa6467c8", "0x6d2e711f", "CHINESE FIGHTE",     "0x0000", "Super Chinese Fighter GB (Japan)"
"0x179ce655", "0x8b5841f0", "CHOPLIFTER 2",       "0x0000", "Choplifter II (Japan)"
"0x1ceb3a9c", "0xf1e62a63", "CHOPLIFTER 2",       "0x0000", "Choplifter II - Rescue & Survive (USA)"
"0x20f0fddc", "0xb64f6563", "CHOPLIFTER 2",       "0x0000", "Choplifter II - Rescue & Survive (Europe)"
"0x8fcfa279", "0x2897c6e2", "CHOPLIFTER III",     "0x0000", "Choplifter III (Europe)"
"0x80c0355c", "0x0d45fc38", "CHUCK ROCK",         "0x0000", "Chuck Rock (USA, Europe)"
"0x977f3578", "0xd43b17c0", "CJYUKUGO 350",       "0x0000", "Goukaku Boy Series - Koukou Nyuushi Derujun - Chuugaku Eijukugo 350 (Japan)"
"0x20327266", "0x4e119ba3", "CLEMENS BASEBA",     "0x0000", "MVP Baseball (Japan), Roger Clemens' MVP Baseball (USA)"
"0xc293e21a", "0xa4ddf40f", "CLIFFHANGER",        "0x0000", "Cliffhanger (USA, Europe)"
"0x37925ae4", "0xd3df7091", "COLLECTION POC",     "0x0000", "Collection Pocket (Japan)"
"0x0562304a", "0x0e82e510", "COLLEGE SLAM",       "0x0000", "College Slam (USA)"
"0x228731e5", "0x8e522fcf", "CONTRA",             "0x0000", "Contra (Japan)"
"0x9a66a1a5", "0x2fe97e95", "COOKING DENSET",     "0x0000", "Hitori de Dekirumon! - Cooking Densetsu (Japan)"
